,Message,Favourite_Count,Retweet_Count,Created_At,user_name,followers
0,"December 7th: The Movie, 1943 directed by John Ford #movie #fullmovie #film #movies #pd 

** GSuite:… https://t.co/vVwLlhhGtH",0,0,2019-08-26 08:26:36,Public domain movies,758
1,"昭和の映画
#illustration #fumiishiwata #movie #artwork #hawaii #actor #artist #illustrator #painting #drawing #popular… https://t.co/mU0AdK0Gbw",0,0,2019-08-26 08:25:36,fumiishiwata_illustration,8
2,RT @Biniam_BinIAM_: @NancySinatra R.I.P.  #PeterFonda   / EASY RIDER / #movie #film  #ጉግል #Peace &amp; #freedom #BinIAM https://t.co/gV67hEqoJW,0,2,2019-08-26 08:25:26,Biniam YIBALEH BinIAM ቢንያም: ይባልህ,517
3,【 #landscape #10s 】深夜食堂(2015)_3 https://t.co/AOtleT19Ov #ComtemporaryArt #FineArt #PopArt #art #eiga #movie #japan #アート #風景,0,0,2019-08-26 08:25:11,アーケロンブックス,5208
4,"Alans UK tour. Dungeness. ""Please tell me that's your tongue"" https://t.co/nUh09M4GbP #movie #film #voice… https://t.co/Xo7f7LARWX",0,0,2019-08-26 08:24:26,scarlet monahan,354694
5,"RT @sebastien_P38: Des milliers et des milliers d’années
Ne sauraient suffire
Pour dire
La petite seconde d’éternité
Où tu m’as embrassé
Où…",0,6,2019-08-26 08:22:36,JLL Photographe📷,2126
6,RT @Blue_Baikal: Flemingfarm recently shared the #newtrailer for The Dark Crystal: Age of Resistance. We doubt you’re as much a #fan as the…,0,22,2019-08-26 08:21:57,Kweelinnhtetzaw,23
7,Morning #movie - Paths of Glory. Provocative and tragic. Love the harrowing yet beautiful long take through the trenches.,0,0,2019-08-26 08:20:36,Lee Greatorex,404
8,"Sebelum Iblis Menjemput Ayat Dua

#SenimanMudaBerkarya #SIMA2 #timotjahjanto #sebelumiblismenjemputayatdua #horror … https://t.co/fpN4BHXwlm",0,0,2019-08-26 08:20:12,Kakafauzi,71
9,New #giveaway from @jewishladyblog! It's #movie time! Enter to win a $50 #giftcard from @fandango https://t.co/EPlskDpr1e,0,1,2019-08-26 08:20:07,🍀Klondike 🎬💗,17579
10,"RT @HanakovaEva: “Všechny ty chvíle zmizí v čase jako slzy v dešti...” 

Kultovní film a kultovni poslední scéna, která je považována za ne…",0,3,2019-08-26 08:19:40,bětka.báthory,811
11,"RT @IvanFiore_: Woran merkt man, das man zu viele Filme gesehen hat? Wen man drauf wartet das die Autos sich transformieren und es nicht ab…",0,1,2019-08-26 08:18:09,Y0SH!,67
12,Missing Link #Movie https://t.co/teXgvzgU5C via @fredalicious https://t.co/lWmZk4OdU4,0,0,2019-08-26 08:18:02,Jess@From Me to You,5368
13,"最近見たエルトンジョンはキングスマン
果たして面白いかな
#rocketman #movie https://t.co/Cm1EwBdtqJ",0,0,2019-08-26 08:17:07,Summer's Gone,1124
14,"RT @ticketplanetNG: Who else can relate? The weekend is over already😭😭😭
Have a beautiful day and an awesome week!
#TicketPlanetNg #Monday #…",0,1,2019-08-26 08:16:07,Mary and The Witch’s Flower,19
15,RT @RWITT_: #thehunchbackofnotredame #fanart #art #artist #drawing #draw #illustration #dessin #disegno #desenho #artwork #disney #pixar #w…,0,5,2019-08-26 08:15:56,Lady Daijanah,79
16,Alan vs karma https://t.co/EWYDDrng7y #animation #art #movies #stopmotionanimation #StopMotion #shortfilm… https://t.co/P8hdiPrZdU,0,0,2019-08-26 08:15:43,stiff middle finger ,8314
17,Click https://t.co/zpGfxgcn0J to see #EvanLefavor do an #InDepth #Breakdown of the #Leaked #SONY #SpiderMan #Movie… https://t.co/VNmD1YEmB0,1,0,2019-08-26 08:14:23,Evan Lefavor,2005
18,@crisf2525 @crisf2525 Due to business workloads and mornings spent at Community Health Centre I have limited time f… https://t.co/BMHfTxOTYg,0,0,2019-08-26 08:13:29,Princess Rina,129241
19,"RT @publictvnews: ಸೆಪ್ಟೆಂಬರ್ 7ಕ್ಕೆ ದರ್ಶನ್‍ರಿಂದ ‘ಟಕ್ಕರ್’ ಆಡಿಯೋ ಬಿಡುಗಡೆ
https://t.co/jReo8jbcYd

#Bengaluru #Sandalwood #Takkar #Movie #Audio",0,2,2019-08-26 08:13:14,ಹರ್ಷವರ್ಧನ್ ಚಕ್ರವರ್ತಿ,3118
20,"ヘアアイロンの機能紹介の動画撮影中😎
全面ピンク一色の世界〜〜〜🌸🌸🌸
モデルは弊社のsobisya models の方です!

#群馬 #創美社 #撮影 #動画 #スタジオ #ヘアアイロン #movie #モデル  #model… https://t.co/93p2q9FAK1",1,0,2019-08-26 08:09:19,創美社_Main,56
